blanket_impl,320
blanket_impl_u16,320
break_in_strange_positions,800
conditional_compilation/run,320
continue_in_strange_positions,1360
dca/alias_lib,272
dca/alias_type_ascription,224
dca/alias_type_ascription_generic,224
dca/alias_unused,224
dca/allow_dead_code,224
dca/all_paths_return,312
dca/constant_decl_expr,320
dca/constant_struct,320
dca/constant_while,224
dca/contract/abi_fn_params,1312
dca/contract/superabi_contract_calls,1960
dca/contract/unused_struct_field,1352
dca/contract/unused_struct_field_array,1424
dca/contract/unused_struct_field_enum,1640
dca/contract/unused_struct_field_tuple,1352
dca/func_param,224
dca/generic_fn_trait_constraint,224
dca/impl_self,224
dca/impl_self_alias2,224
dca/impl_self_alias,224
dca/impl_trait_multiple,312
dca/impl_trait_single,312
dca/impl_unused_fn,336
dca/library/fn_params_free,24
dca/library/fn_params_impl,24
dca/library/fn_params_trait,24
dca/library/unused_priv_free_fn,24
dca/library/unused_pub_free_fn,24
dca/log_intrinsic,792
dca/log_stdlib,792
dca/multiple_enums_same_name,224
dca/multiple_fns_same_name,224
dca/reassignment_lhs,256
dca/revert,336
dca/struct_field_no_warning,432
dca/trait_method,224
dca/trait_method_lib,24
dca/trait_method_neq,408
dca/unused_enum,224
dca/unused_fields,312
dca/unused_free_fn,224
dca/unused_struct,224
dca/unused_trait,224
dca/unused_variable,224
dca/unused_variable_in_free_fn,224
empty_fields_in_storage_struct,28920
evm/evm_basic,224
forc/contract_dependencies/contract_a,944
forc/contract_dependencies/contract_b,1160
forc/contract_dependencies/contract_c,1160
forc/dependency_package_field,312
forc/dependency_patching,312
forc/workspace_building,24
language/aliased_imports,352
language/arg_demotion_inline,1360
language/args_on_stack,1592
language/array_basics,792
language/array_generics,400
language/asm_expr_basic,448
language/asm_without_return,224
language/associated_const_abi,336
language/associated_const_abi_default,336
language/associated_const_abi_multiple,336
language/associated_const_impl,336
language/associated_const_impl_local_same_name,336
language/associated_const_impl_multiple,336
language/associated_const_impl_self,336
language/associated_const_impl_self_order,336
language/associated_const_trait,336
language/associated_const_trait_const,320
language/associated_const_trait_default,336
language/associated_const_trait_impl_method,336
language/associated_const_trait_method,336
language/associated_type_and_associated_const,336
language/associated_type_ascription,336
language/associated_type_container,1840
language/associated_type_container_in_library,1840
language/associated_type_fully_qualified,600
language/associated_type_iterator,1928
language/associated_type_method,336
language/associated_type_parameter,336
language/attributes_warnings,224
language/b256_bad_jumps,312
language/b256_bitwise_ops,6808
language/b256_ops,3776
language/basic_func_decl,320
language/basic_predicate,104
language/binary_and_hex_literals,320
language/binop_intrinsics,320
language/bitwise_not,320
language/blanket_trait,320
language/bool_and_or,344
language/break_and_continue,896
language/builtin_type_method_call,320
language/callpath_local_shadowing,224
language/chained_if_let,416
language/complex_cfg,1040
language/configurable_consts,7216
language/const_decl_and_use_in_library,320
language/const_decl_in_library,344
language/const_decl_literal,320
language/const_decl_with_call_path,528
language/const_inits,1848
language/contract_caller_as_ret,1160
language/contract_caller_dynamic_address,1832
language/deprecated,24
language/deprecated_attribute,224
language/diagnose_unknown_annotations,1528
language/diverging_exprs,1144
language/doc_comments,1152
language/dummy_method_issue,488
language/duplicated_storage_keys,224
language/empty_method_initializer,992
language/enum_destructuring,376
language/enum_if_let,728
language/enum_if_let_large_type,680
language/enum_in_fn_decl,408
language/enum_init_fn_call,568
language/enum_instantiation,3752
language/enum_padding,1736
language/enum_type_inference,320
language/enum_variant_imports,432
language/eq_and_neq,2072
language/eq_intrinsic,320
language/fallback_only,1832
language/far_jumps/many_blobs,11640520
language/far_jumps/single_blob,1048920
language/fix_opcode_bug,320
language/for_loops,4488
language/fqp_in_lib,336
language/funcs_with_generic_types,320
language/generic_functions,320
language/generic_impl_self,2616
language/generic_impl_self_where,2360
language/generic_inside_generic,408
language/generic_result_method,680
language/generics_in_contract,3456
language/generic_struct,336
language/generic_struct_instantiation,312
language/generic_structs,608
language/generic_trait_constraints,1048
language/generic_traits,1312
language/generic_transpose,912
language/generic_tuple_trait,832
language/generic_type_inference,3352
language/generic_where_in_impl_self2,504
language/generic_where_in_impl_self,504
language/gtf_intrinsic,640
language/if_elseif_enum,744
language/if_implicit_unit,224
language/if_let_no_side_effects,408
language/implicit_casting,320
language/implicit_return,320
language/impl_self_method,336
language/impl_self_method_order,336
language/import_method_from_other_file,688
language/import_star_name_clash,2384
language/import_trailing_comma,320
language/import_with_different_callpaths,2752
language/impure_ifs,1104
language/inline_if_expr_const,224
language/insert_element_reg_reuse,2488
language/integer_type_inference,1536
language/is_prime,1144
language/is_reference_type,320
language/largeint_sroa,832
language/left_to_right_func_args_evaluation,344
language/local_impl_for_ord,320
language/logging,3432
language/main_args/main_args_empty,320
language/main_args/main_args_generics,1136
language/main_args/main_args_one_u64,392
language/main_args/main_args_ref,424
language/main_args/main_args_ref_copy,528
language/main_args/main_args_ref_ref,576
language/main_args/main_args_two_u64,504
language/main_args/main_args_various_types,2424
language/main_returns_unit,224
language/many_stack_variables,936
language/match_expressions,880
language/match_expressions_constants,448
language/match_expressions_empty_enums,320
language/match_expressions_enums,3336
language/match_expressions_explicit_rets,320
language/match_expressions_inside_generic_functions,520
language/match_expressions_mismatched,368
language/match_expressions_nested,1696
language/match_expressions_or,9184
language/match_expressions_rest,1720
language/match_expressions_simple,408
language/match_expressions_structs,408
language/match_expressions_unreachable_catch_all_last_arm,2296
language/match_expressions_unreachable_catch_all_middle_arm,2088
language/match_expressions_unreachable_last_arm,3032
language/match_expressions_unreachable_middle_arm,3440
language/match_expressions_with_self,464
language/mega_example,10184
language/memcpy,464
language/method_indirect_inference,584
language/method_on_empty_struct,312
language/method_type_args,224
language/method_unambiguous,552
language/module_dep,24
language/module_dep_multiple,24
language/module_dep_self,24
language/modulo_uint_test,320
language/multi_impl_self,320
language/multi_item_import,312
language/mutable_and_initd,432
language/mutable_arrays,320
language/mutable_arrays_enum,376
language/mutable_arrays_multiple_nested,312
language/mutable_arrays_nested,312
language/mutable_arrays_struct,320
language/mutable_arrays_swap,320
language/mut_ref_empty_type,744
language/name_resolution_after_monomorphization,336
language/nested_struct_destructuring,312
language/nested_structs,1104
language/nested_while_and_if,416
language/new_allocator_test,792
language/non_literal_const_decl,320
language/numeric_constants,320
language/op_precedence,312
language/ops,424
language/out_of_order_decl,328
language/predicate_while,128
language/predicate_while_dep,128
language/prelude_access2,224
language/prelude_access,224
language/primitive_type_argument,320
language/raw_identifiers,448
language/reassignment_operators,312
language/reassignment_rhs_lhs_evaluation_order,896
language/redundant_return,312
language/references/dereferencing_control_flow_expressions,1192
language/references/dereferencing_operator_dot_on_structs,125040
language/references/dereferencing_operator_dot_on_tuples,125040
language/references/dereferencing_operator_index,92368
language/references/dereferencing_operator_star,151248
language/references/impl_reference_types,7808
language/references/mutability_of_references,936
language/references/passing_and_returning_references_to_and_from_functions,15928
language/references/reassigning_via_references_in_aggregates,4968
language/references/reassigning_via_references_passed_and_returned_to_and_from_functions,38904
language/references/reassigning_via_references_to_expressions,39368
language/references/reassigning_via_references_to_values,13976
language/references/references_and_generics,3592
