Test,Before,After,Percentage
math_inline_tests::math_u32_log_fail_base_1,10,9,10.00
math_inline_tests::math_u32_log_fail_base_1_disable_overflow,40,38,5.00
math_inline_tests::math_u32_log_fail_x_0,10,9,10.00
math_inline_tests::math_u32_log_fail_x_0_disable_overflow,40,38,5.00
math_inline_tests::math_u32_log_parity_with_ruint,575642,568342,1.27
math_inline_tests::math_u32_log_unsafe_math,134,127,5.22
math_inline_tests::math_u32_modulo,312,300,3.85
math_inline_tests::math_u32_modulo_unsafe_math,121,117,3.31
math_inline_tests::math_u32_mul,847,813,4.01
math_inline_tests::math_u32_overflow_add,578,551,4.67
math_inline_tests::math_u32_overflow_mul,196,188,4.08
math_inline_tests::math_u32_overflow_pow,140,133,5.00
math_inline_tests::math_u32_sub,862,826,4.18
math_inline_tests::math_u32_underflow_sub,246,235,4.47
math_inline_tests::math_u32_unsafe_math,630,607,3.65
math_inline_tests::math_u32_zero,71,69,2.82
math_inline_tests::math_u64_0th_root_fail,11,10,9.09
math_inline_tests::math_u64_add,167,162,2.99
math_inline_tests::math_u64_disable_overflow,630,607,3.65
math_inline_tests::math_u64_divide,242,234,3.31
math_inline_tests::math_u64_divide_by_zero_unsafe_math,112,109,2.68
math_inline_tests::math_u64_log2_fail_x_0,10,9,10.00
math_inline_tests::math_u64_log2_fail_x_0_disable_overflow,40,38,5.00
math_inline_tests::math_u64_log2_fail_x_0_unsafe_math,78,75,3.85
math_inline_tests::math_u64_log_fail_base_0,10,9,10.00
math_inline_tests::math_u64_log_fail_base_0_disable_overflow,40,38,5.00
math_inline_tests::math_u64_log_fail_base_1,10,9,10.00
math_inline_tests::math_u64_log_fail_base_1_disable_overflow,40,38,5.00
math_inline_tests::math_u64_log_fail_x_0,10,9,10.00
math_inline_tests::math_u64_log_fail_x_0_disable_overflow,40,38,5.00
math_inline_tests::math_u64_log_parity_with_ruint,179591,174116,3.05
math_inline_tests::math_u64_log_unsafe_math,134,127,5.22
math_inline_tests::math_u64_modulo,226,218,3.54
math_inline_tests::math_u64_modulo_unsafe_math,121,117,3.31
math_inline_tests::math_u64_mul,331,320,3.32
math_inline_tests::math_u64_overflow_add,181,176,2.76
math_inline_tests::math_u64_overflow_pow,83,81,2.41
math_inline_tests::math_u64_sub,346,334,3.47
math_inline_tests::math_u64_underflow_sub,112,109,2.68
math_inline_tests::math_u64_unsafe_math,630,607,3.65
math_inline_tests::math_u64_zero,71,69,2.82
math_inline_tests::math_u8_0th_root_fail,11,10,9.09
math_inline_tests::math_u8_add,395,372,5.82
math_inline_tests::math_u8_divide,264,256,3.03
math_inline_tests::math_u8_divide_by_zero_unsafe_math,123,120,2.44
math_inline_tests::math_u8_log2_fail_x_0,10,9,10.00
math_inline_tests::math_u8_log2_fail_x_0_disable_overflow,40,38,5.00
math_inline_tests::math_u8_log2_fail_x_0_unsafe_math,78,75,3.85
math_inline_tests::math_u8_log_fail_base_0,10,9,10.00
math_inline_tests::math_u8_log_fail_base_0_disable_overflow,40,38,5.00
math_inline_tests::math_u8_log_fail_base_1,10,9,10.00
math_inline_tests::math_u8_log_fail_base_1_disable_overflow,40,38,5.00
math_inline_tests::math_u8_log_fail_x_0,10,9,10.00
math_inline_tests::math_u8_log_fail_x_0_disable_overflow,40,38,5.00
math_inline_tests::math_u8_log_parity_with_ruint,586592,579292,1.24
math_inline_tests::math_u8_log_unsafe_math,138,131,5.07
math_inline_tests::math_u8_modulo,224,216,3.57
math_inline_tests::math_u8_modulo_unsafe_math,121,117,3.31
math_inline_tests::math_u8_mul,789,743,5.83
math_inline_tests::math_u8_overflow_add,542,508,6.27
math_inline_tests::math_u8_overflow_mul,185,175,5.41
math_inline_tests::math_u8_overflow_pow,143,136,4.90
math_inline_tests::math_u8_sub,788,740,6.09
math_inline_tests::math_u8_underflow_sub,243,230,5.35
math_inline_tests::math_u8_unsafe_math,471,454,3.61
math_inline_tests::math_u8_zero,73,71,2.74
math_inline_tests::math_u8_zero_root_disable_overflow,471,454,3.61
math_inline_tests::revert_math_u16_add_unsafe_math,104,100,3.85
math_inline_tests::revert_math_u16_divide_by_zero_with_disabled_overflow,42,41,2.38
math_inline_tests::revert_math_u16_modulo_panic_on_overflow_disabled,36,35,2.78
math_inline_tests::revert_math_u16_mul_unsafe_math,105,101,3.81
math_inline_tests::revert_math_u16_overflow_add,74,71,4.05
math_inline_tests::revert_math_u16_overflow_mul,75,72,4.00
math_inline_tests::revert_math_u16_pow_overflow,68,64,5.88
math_inline_tests::revert_math_u16_pow_unsafe_math,98,93,5.10
math_inline_tests::revert_math_u16_sub_unsafe_math,62,60,3.23
math_inline_tests::revert_math_u16_underflow_sub,32,31,3.12
math_inline_tests::revert_math_u256_divide_by_zero_with_disabled_overflow,52,51,1.92
math_inline_tests::revert_math_u256_modulo_panic_on_disabled_overflow,52,51,1.92
math_inline_tests::revert_math_u256_mul_unsafe_math,52,51,1.92
math_inline_tests::revert_math_u256_pow_overflow,1134,1105,2.56
math_inline_tests::revert_math_u256_pow_unsafe_math,1165,1135,2.58
math_inline_tests::revert_math_u256_sub_unsafe_math,43,42,2.33
math_inline_tests::revert_math_u32_add_unsafe_math,104,100,3.85
math_inline_tests::revert_math_u32_divide_by_zero_with_disabled_overflow,42,41,2.38
math_inline_tests::revert_math_u32_modulo_panic_on_overflow_disabled,36,35,2.78
math_inline_tests::revert_math_u32_mul_unsafe_math,105,101,3.81
math_inline_tests::revert_math_u32_overflow_add,74,71,4.05
math_inline_tests::revert_math_u32_overflow_mul,75,72,4.00
math_inline_tests::revert_math_u32_pow_overflow,68,64,5.88
math_inline_tests::revert_math_u32_pow_unsafe_math,98,93,5.10
math_inline_tests::revert_math_u32_sub_unsafe_math,62,60,3.23
math_inline_tests::revert_math_u32_underflow_sub,32,31,3.12
math_inline_tests::revert_math_u64_add_unsafe_math,41,40,2.44
math_inline_tests::revert_math_u64_divide_by_zero_with_disabled_overflow,42,41,2.38
math_inline_tests::revert_math_u64_modulo_panic_on_disabled_overflow,36,35,2.78
math_inline_tests::revert_math_u64_pow_unsafe_math,40,39,2.50
math_inline_tests::revert_math_u64_sub_unsafe_math,42,41,2.38
math_inline_tests::revert_math_u8_add_unsafe_math,101,96,4.95
math_inline_tests::revert_math_u8_divide_by_zero_with_disabled_overflow,44,43,2.27
math_inline_tests::revert_math_u8_modulo_panic_on_overflow_disabled,36,35,2.78
math_inline_tests::revert_math_u8_mul_unsafe_math,102,97,4.90
math_inline_tests::revert_math_u8_overflow_add,71,67,5.63
math_inline_tests::revert_math_u8_overflow_mul,72,68,5.56
math_inline_tests::revert_math_u8_pow_overflow,68,64,5.88
math_inline_tests::revert_math_u8_pow_unsafe_math,98,93,5.10
math_inline_tests::revert_math_u8_sub_unsafe_math,60,57,5.00
math_inline_tests::revert_math_u8_underflow_sub,30,28,6.67
ops_inline_tests::str_eq_test,1255,1212,3.43
option_inline_tests::option_eq,1520,1471,3.22
option_inline_tests::option_expect,1137,1107,2.64
option_inline_tests::option_is_none,760,733,3.55
option_inline_tests::option_is_some,751,724,3.60
option_inline_tests::option_ne,1612,1563,3.04
option_inline_tests::option_ok_or,1511,1472,2.58
option_inline_tests::option_unwrap,1027,997,2.92
option_inline_tests::option_unwrap_or,1244,1205,3.14
option_inline_tests::revert_option_expect_when_none,252,251,0.40
output_inline_tests::output_output_eq,439,424,3.42
output_inline_tests::output_output_neq,1088,1058,2.76
primitive_conversions_b256_inline_tests::b256_from_tuple,181,178,1.66
primitive_conversions_b256_inline_tests::b256_from_u128,697,672,3.59
primitive_conversions_b256_inline_tests::b256_from_u256,175,172,1.71
primitive_conversions_b256_inline_tests::b256_into_tuple,209,206,1.44
primitive_conversions_b256_inline_tests::b256_into_u128,743,718,3.36
primitive_conversions_b256_inline_tests::b256_into_u256,187,184,1.60
primitive_conversions_b256_inline_tests::b256_try_from_b512,364,354,2.75
primitive_conversions_b256_inline_tests::b256_try_from_bytes,5421,5400,0.39
primitive_conversions_b256_inline_tests::test_b256_as_u256,63,62,1.59
primitive_conversions_str_inline_tests::str_slice_to_str_array,545,528,3.12
primitive_conversions_u16_inline_tests::test_u16_as_u256,98,96,2.04
primitive_conversions_u16_inline_tests::test_u16_as_u32,49,48,2.04
primitive_conversions_u16_inline_tests::test_u16_as_u64,49,48,2.04
primitive_conversions_u16_inline_tests::u16_from_u8,111,108,2.70
primitive_conversions_u16_inline_tests::u16_into_u8,111,108,2.70
primitive_conversions_u16_inline_tests::u16_try_from_u128,940,908,3.40
primitive_conversions_u16_inline_tests::u16_try_from_u256,987,940,4.76
primitive_conversions_u16_inline_tests::u16_try_from_u32,611,589,3.60
primitive_conversions_u16_inline_tests::u16_try_from_u64,594,572,3.70
primitive_conversions_u256_inline_tests::u256_from_b256,177,174,1.69
primitive_conversions_u256_inline_tests::u256_from_tuple,181,178,1.66
primitive_conversions_u256_inline_tests::u256_from_u128,426,411,3.52
primitive_conversions_u256_inline_tests::u256_from_u16,274,268,2.19
primitive_conversions_u256_inline_tests::u256_from_u32,274,268,2.19
primitive_conversions_u256_inline_tests::u256_from_u64,274,268,2.19
primitive_conversions_u256_inline_tests::u256_from_u8,274,268,2.19
primitive_conversions_u256_inline_tests::u256_into_b256,200,197,1.50
primitive_conversions_u256_inline_tests::u256_into_tuple,209,206,1.44
primitive_conversions_u256_inline_tests::u256_into_u128,454,439,3.30
primitive_conversions_u256_inline_tests::u256_into_u16,293,287,2.05
primitive_conversions_u256_inline_tests::u256_into_u32,293,287,2.05
primitive_conversions_u256_inline_tests::u256_into_u64,293,287,2.05
primitive_conversions_u256_inline_tests::u256_into_u8,299,293,2.01
primitive_conversions_u256_inline_tests::u256_try_from_b512,1061,1034,2.54
primitive_conversions_u32_inline_tests::test_u32_as_u256,98,96,2.04
primitive_conversions_u32_inline_tests::test_u32_as_u64,49,48,2.04
primitive_conversions_u32_inline_tests::u32_from_u16,103,100,2.91
primitive_conversions_u32_inline_tests::u32_from_u8,109,106,2.75
primitive_conversions_u32_inline_tests::u32_into_u16,103,100,2.91
primitive_conversions_u32_inline_tests::u32_into_u8,109,106,2.75
primitive_conversions_u32_inline_tests::u32_try_from_u128,940,908,3.40
primitive_conversions_u32_inline_tests::u32_try_from_u256,1099,1047,4.73
primitive_conversions_u32_inline_tests::u32_try_from_u64,594,572,3.70
primitive_conversions_u64_inline_tests::u64_as_u256,98,96,2.04
primitive_conversions_u64_inline_tests::u64_from_u16,105,102,2.86
primitive_conversions_u64_inline_tests::u64_from_u32,105,102,2.86
primitive_conversions_u64_inline_tests::u64_from_u8,111,108,2.70
primitive_conversions_u64_inline_tests::u64_into_u16,105,102,2.86
primitive_conversions_u64_inline_tests::u64_into_u32,105,102,2.86
primitive_conversions_u64_inline_tests::u64_into_u8,111,108,2.70
primitive_conversions_u64_inline_tests::u64_try_from_u128,776,748,3.61
primitive_conversions_u64_inline_tests::u64_try_from_u256,1095,1043,4.75
primitive_conversions_u8_inline_tests::test_u8_as_u16,51,50,1.96
primitive_conversions_u8_inline_tests::test_u8_as_u256,100,98,2.00
primitive_conversions_u8_inline_tests::test_u8_as_u32,51,50,1.96
primitive_conversions_u8_inline_tests::test_u8_as_u64,51,50,1.96
primitive_conversions_u8_inline_tests::u8_try_from_u128,946,914,3.38
primitive_conversions_u8_inline_tests::u8_try_from_u16,617,595,3.57
primitive_conversions_u8_inline_tests::u8_try_from_u256,1109,1057,4.69
primitive_conversions_u8_inline_tests::u8_try_from_u32,617,595,3.57
primitive_conversions_u8_inline_tests::u8_try_from_u64,600,578,3.67
result_inline_tests::result_expect,1143,1113,2.62
result_inline_tests::result_is_err,742,717,3.37
result_inline_tests::result_is_ok,733,708,3.41
result_inline_tests::result_unwrap,1028,998,2.92
result_inline_tests::result_unwrap_or,1218,1180,3.12
result_inline_tests::revert_result_expect_when_none,403,396,1.74
result_inline_tests::test_eq_u64_u64,377,369,2.12
result_inline_tests::test_neq_u64_u64,2050,2006,2.15
revert_inline_tests::pass_revert_require,60,59,1.67
revert_inline_tests::revert_revert_require,240,238,0.83
revert_inline_tests::revert_revert_with_log,219,218,0.46
storage_key_inline_tests::storage_key_field_id,437,422,3.43
storage_key_inline_tests::storage_key_is_zero,1070,1030,3.74
storage_key_inline_tests::storage_key_new,794,761,4.16
storage_key_inline_tests::storage_key_offset,377,362,3.98
storage_key_inline_tests::storage_key_slot,434,419,3.46
storage_key_inline_tests::storage_key_zero,272,261,4.04
string_inline_tests::string_as_bytes,1005,964,4.08
string_inline_tests::string_as_raw_slice,905,882,2.54
string_inline_tests::string_bytes_from,1297,1262,2.70
string_inline_tests::string_bytes_into,1297,1262,2.70
string_inline_tests::string_capacity,581,558,3.96
string_inline_tests::string_clear,495,476,3.84
string_inline_tests::string_clear_empty,290,276,4.83
string_inline_tests::string_clone,2441,2362,3.24
string_inline_tests::string_from_ascii,1564,1524,2.56
string_inline_tests::string_from_ascii_str,1378,1338,2.90
string_inline_tests::string_from_bytes,1287,1252,2.72
string_inline_tests::string_from_raw_slice,1345,1311,2.53
string_inline_tests::string_into_bytes,1967,1896,3.61
string_inline_tests::string_into_raw_slice,1686,1622,3.80
string_inline_tests::string_is_empty,1105,1064,3.71
string_inline_tests::string_new,243,231,4.94
string_inline_tests::string_ptr,1086,1048,3.50
string_inline_tests::string_raw_slice_from,905,882,2.54
string_inline_tests::string_raw_slice_into,919,896,2.50
string_inline_tests::string_test_abi_encoding,1180,1151,2.46
string_inline_tests::string_test_equal,1540,1493,3.05
string_inline_tests::string_test_hash,951,920,3.26
string_inline_tests::string_with_capacity,3120,2951,5.42
tx_inline_tests::tx_transaction_eq,1555,1501,3.47
tx_inline_tests::tx_transaction_ne,6780,6600,2.65
u128_inline_tests::parity_u128_log_with_ruint,2207192,2138119,3.13
u128_inline_tests::revert_u128_1log1,336,327,2.68
u128_inline_tests::revert_u128_1log1_disable_overflow,366,356,2.73
u128_inline_tests::revert_u128_add,503,481,4.37
u128_inline_tests::revert_u128_add_on_unsafe_math,533,510,4.32
u128_inline_tests::revert_u128_binary_log,227,219,3.52
u128_inline_tests::revert_u128_binary_log_disable_overflow,257,248,3.50
u128_inline_tests::revert_u128_disable_overflow,336,327,2.68
u128_inline_tests::revert_u128_disable_overflow_disable_overflow,366,356,2.73
u128_inline_tests::revert_u128_divide_by_zero,282,272,3.55
u128_inline_tests::revert_u128_divide_by_zero_disabled_overflow,312,301,3.53
u128_inline_tests::revert_u128_mod_zero,246,238,3.25
u128_inline_tests::revert_u128_mod_zero_disabled_overflow,276,267,3.26
u128_inline_tests::revert_u128_multiply,270,259,4.07
u128_inline_tests::revert_u128_multiply_on_unsafe_math,287,276,3.83
u128_inline_tests::revert_u128_pow_overflow,535,517,3.36
u128_inline_tests::revert_u128_sub,232,224,3.45
u128_inline_tests::revert_u128_sub_on_unsafe_math,262,253,3.44
u128_inline_tests::revert_u128_zero_root,209,202,3.35
u128_inline_tests::revert_u128_zero_root_overflow_disabled,239,231,3.35
u128_inline_tests::revert_unsafe_math_u128_0log_3,396,384,3.03
u128_inline_tests::revert_unsafe_math_u128_0log_3_disable_overflow,426,413,3.05
u128_inline_tests::u128_add,2555,2432,4.81
u128_inline_tests::u128_add_overflow,1670,1600,4.19
u128_inline_tests::u128_as_u256,12508,12061,3.57
u128_inline_tests::u128_as_u64,962,932,3.12
u128_inline_tests::u128_binary_log,2143,2045,4.57
u128_inline_tests::u128_bits,43,42,2.33
u128_inline_tests::u128_bitwise_and,2494,2378,4.65
u128_inline_tests::u128_bitwise_or,4396,4191,4.66
u128_inline_tests::u128_divide,87811,85279,2.88
u128_inline_tests::u128_divide_by_zero_unsafe_math,309,299,3.24
u128_inline_tests::u128_eq,519,501,3.47
u128_inline_tests::u128_from_u16,477,465,2.52
u128_inline_tests::u128_from_u32,477,465,2.52
u128_inline_tests::u128_from_u64,477,465,2.52
u128_inline_tests::u128_from_u64_tuple,484,460,4.96
u128_inline_tests::u128_from_u8,483,471,2.48
u128_inline_tests::u128_into_u64_tuple,486,468,3.70
u128_inline_tests::u128_is_zero,490,471,3.88
u128_inline_tests::u128_log,26814,25796,3.80
u128_inline_tests::u128_log_unsafe_math,823,796,3.28
u128_inline_tests::u128_lower,336,321,4.46
u128_inline_tests::u128_max,154,147,4.55
u128_inline_tests::u128_min,127,121,4.72
u128_inline_tests::u128_mod,1212453,1178233,2.82
u128_inline_tests::u128_mod_zero_unsafe_math,757,730,3.57
u128_inline_tests::u128_multiply,1368,1307,4.46
u128_inline_tests::u128_multiply_overflow,841,810,3.69
u128_inline_tests::u128_ne,1261,1219,3.33
u128_inline_tests::u128_new,150,143,4.67
u128_inline_tests::u128_not,593,563,5.06
u128_inline_tests::u128_ord,1928,1856,3.73
u128_inline_tests::u128_overflowing_add,621,595,4.19
u128_inline_tests::u128_overflowing_mul,452,435,3.76
u128_inline_tests::u128_overflowing_pow,5070,4877,3.81
u128_inline_tests::u128_pow,9286,8955,3.56
u128_inline_tests::u128_root,15153,14578,3.79
u128_inline_tests::u128_shift,1152,1106,3.99
u128_inline_tests::u128_sub,1394,1334,4.30
u128_inline_tests::u128_sub_underflow,648,627,3.24
u128_inline_tests::u128_u16_into,493,481,2.43
u128_inline_tests::u128_u32_into,493,481,2.43
u128_inline_tests::u128_u64_into,493,481,2.43
u128_inline_tests::u128_u64_tuple_from,450,432,4.00
u128_inline_tests::u128_u64_tuple_into,502,478,4.78
u128_inline_tests::u128_u8_into,499,487,2.40
u128_inline_tests::u128_underflowing_sub,353,341,3.40
u128_inline_tests::u128_unsafe_math_log2,344,332,3.49
u128_inline_tests::u128_unsafemath_log2,344,332,3.49
u128_inline_tests::u128_upper,336,321,4.46
u128_inline_tests::u128_zero,164,160,2.44
u128_inline_tests::u128_zero_root_unsafe_math,476,461,3.15
vec_inline_tests::revert_vec_insert_out_of_bounds,799,776,2.88
vec_inline_tests::revert_vec_remove_out_of_bounds,766,744,2.87
vec_inline_tests::revert_vec_set_out_of_bounds,769,747,2.86
vec_inline_tests::revert_vec_swap_element_1_out_of_bounds,768,746,2.86
vec_inline_tests::revert_vec_swap_element_2_out_of_bounds,792,769,2.90
vec_inline_tests::vec_as_raw_slice,926,899,2.92
vec_inline_tests::vec_buffer_ownership,2496,2387,4.37
vec_inline_tests::vec_capacity,1203,1161,3.49
vec_inline_tests::vec_clear,805,780,3.11
vec_inline_tests::vec_clear_empty_vec,286,270,5.59
vec_inline_tests::vec_clear_twice,873,847,2.98
vec_inline_tests::vec_clone,1981,1899,4.14
vec_inline_tests::vec_encode_and_decode,2581,2482,3.84
vec_inline_tests::vec_from_raw_slice,502,481,4.18
vec_inline_tests::vec_get,1938,1858,4.13
vec_inline_tests::vec_insert,1800,1732,3.78
vec_inline_tests::vec_insert_back,1729,1661,3.93
vec_inline_tests::vec_insert_before_back,1778,1709,3.88
vec_inline_tests::vec_insert_front,1849,1780,3.73
vec_inline_tests::vec_insert_twice,3119,2995,3.98
vec_inline_tests::vec_is_empty,1024,984,3.91
vec_inline_tests::vec_iter,2257,2173,3.72
vec_inline_tests::vec_last,1863,1799,3.44
vec_inline_tests::vec_len,1355,1313,3.10
vec_inline_tests::vec_new,184,174,5.43
vec_inline_tests::vec_pop,3470,3343,3.66
vec_inline_tests::vec_ptr,1167,1117,4.28
vec_inline_tests::vec_push,2300,2208,4.00
vec_inline_tests::vec_raw_slice_into,508,487,4.13
vec_inline_tests::vec_remove,1828,1758,3.83
vec_inline_tests::vec_remove_all,1469,1417,3.54
vec_inline_tests::vec_remove_end,1420,1365,3.87
vec_inline_tests::vec_remove_front,1495,1440,3.68
vec_inline_tests::vec_resize,6186,5910,4.46
vec_inline_tests::vec_set,1491,1434,3.82
vec_inline_tests::vec_set_back,1518,1459,3.89
vec_inline_tests::vec_set_front,1491,1434,3.82
vec_inline_tests::vec_set_twice,2166,2077,4.11
vec_inline_tests::vec_swap,1822,1751,3.90
vec_inline_tests::vec_swap_end,1489,1433,3.76
vec_inline_tests::vec_swap_front,1488,1432,3.76
vec_inline_tests::vec_swap_front_with_end,1489,1433,3.76
vec_inline_tests::vec_swap_twice,2754,2638,4.21
vec_inline_tests::vec_with_capacity,3283,3228,1.68
vm_evm_ecr_inline_tests::ecr_ec_recover,3666,3624,1.15
vm_evm_evm_address_inline_tests::evm_address_b256_from,381,366,3.94
vm_evm_evm_address_inline_tests::evm_address_b256_into,400,385,3.75
vm_evm_evm_address_inline_tests::evm_address_bits,372,357,4.03
vm_evm_evm_address_inline_tests::evm_address_eq,530,509,3.96
vm_evm_evm_address_inline_tests::evm_address_from_b256,372,357,4.03
vm_evm_evm_address_inline_tests::evm_address_hash,2364,2288,3.21
vm_evm_evm_address_inline_tests::evm_address_into_b256,400,385,3.75
vm_evm_evm_address_inline_tests::evm_address_into_bytes,8716,8480,2.71
vm_evm_evm_address_inline_tests::evm_address_is_zero,479,464,3.13
vm_evm_evm_address_inline_tests::evm_address_ne,376,361,3.99
vm_evm_evm_address_inline_tests::evm_address_try_from_bytes,3660,3503,4.29
vm_evm_evm_address_inline_tests::evm_address_zero,127,123,3.15
