language/match_expressions_mismatched,440
language/match_expressions_nested,1888
language/match_expressions_or,9760
language/match_expressions_rest,1880
language/match_expressions_simple,464
language/match_expressions_structs,448
language/match_expressions_unreachable_catch_all_last_arm,2384
language/match_expressions_unreachable_catch_all_middle_arm,2328
language/match_expressions_unreachable_last_arm,3736
language/match_expressions_unreachable_middle_arm,4168
language/match_expressions_unreachable_or,232
language/match_expressions_with_self,520
language/mega_example,10328
language/memcpy,528
language/method_indirect_inference,664
language/method_nested_type_args,432
language/method_on_empty_struct,376
language/method_type_args,232
language/method_unambiguous,648
language/module_dep,32
language/module_dep_multiple,32
language/module_dep_self,32
language/modulo_uint_test,368
language/multi_impl_self,384
language/multi_item_import,368
language/mutable_and_initd,480
language/mutable_arrays,384
language/mutable_arrays_enum,448
language/mutable_arrays_multiple_nested,376
language/mutable_arrays_nested,376
language/mutable_arrays_struct,384
language/mutable_arrays_swap,384
language/mut_ref_empty_type,808
language/name_resolution_after_monomorphization,400
language/nested_generics,744
language/nested_struct_destructuring,376
language/nested_structs,1152
language/nested_while_and_if,464
language/new_allocator_test,840
language/non_literal_const_decl,384
language/numeric_constants,2632
language/numeric_type_propagation,1368
language/op_precedence,368
language/ops,472
language/out_of_order_decl,376
language/overlapped_trait_impls,672
language/predicate_while,128
language/predicate_while_dep,128
language/prelude_access2,232
language/prelude_access,232
language/primitive_type_argument,384
language/pusha_popa_multiple_defreg,3080
language/raw_identifiers,496
language/reassignment_operators,376
language/reassignment_rhs_lhs_evaluation_order,1008
language/redundant_return,376
language/reexport/aliases,1472
language/reexport/multiple_imports_of_same_reexport,2072
language/reexport/reexport_paths,888
language/reexport/reexport_paths_external_lib,32
language/reexport/simple_glob_import,1224
language/reexport/simple_item_import,1224
language/reexport/visibility,1224
language/references/dereferencing_control_flow_expressions,1264
language/references/dereferencing_operator_dot_on_structs,153368
language/references/dereferencing_operator_dot_on_tuples,153368
language/references/dereferencing_operator_index,100056
language/references/dereferencing_operator_star,182080
language/references/impl_reference_types,8128
language/references/mutability_of_references,1000
language/references/mutability_of_references_memcpy_bug,4176
language/references/passing_and_returning_references_to_and_from_functions,16496
language/references/reassigning_via_references_in_aggregates,5832
language/references/reassigning_via_references_passed_and_returned_to_and_from_functions,45192
language/references/reassigning_via_references_to_expressions,38824
language/references/reassigning_via_references_to_values,15112
